揉む<div class="hint">rub; massage</div>,もむ,rub; massage,<ruby>肩<rt>かた</rt></ruby>を <ruby>揉<rt>も</rt></ruby>んでください。,Please massage my shoulders.,verb
連想<div class="hint">association</div>,れんそう,association,<ruby>私<rt>わたし</rt></ruby>は <ruby>青<rt>あお</rt></ruby>と <ruby>聞<rt>き</rt></ruby>くと <ruby>空<rt>そら</rt></ruby>を <ruby>連想<rt>れんそう</rt></ruby>します。,I associate the word blue with the sky.,
画像<div class="hint">likeness; portrait</div>,がぞう,likeness; portrait,デジタル <ruby>放送<rt>ほうそう</rt></ruby>の <ruby>画像<rt>がぞう</rt></ruby>は <ruby>鮮明<rt>せんめい</rt></ruby>です。,The digital broadcast images are clear.,
映像<div class="hint">image; reflection</div>,えいぞう,image; reflection,テレビの <ruby>映像<rt>えいぞう</rt></ruby>に <ruby>引き<ruby>付<rt>ひきつ</rt></ruby>けられた。,I was attracted to the image on the television.,
抽選<div class="hint">lottery</div>,ちゅうせん,lottery,ハワイ <ruby>旅行<rt>りょこう</rt></ruby>の <ruby>抽選<rt>ちゅうせん</rt></ruby>に <ruby>当<rt>あ</rt></ruby>たりました。,I won a trip to Hawaii in the lottery.,
必修<div class="hint">compulsory; required</div>,ひっしゅう,compulsory; required,この <ruby>授業<rt>じゅぎょう</rt></ruby>は <ruby>必修<rt>ひっしゅう</rt></ruby>です。,This class is compulsory.,
修行<div class="hint">ascetic training</div>,しゅぎょう,ascetic training,<ruby>彼<rt>かれ</rt></ruby>は <ruby>苦<rt>くる</rt></ruby>しい <ruby>修行<rt>しゅぎょう</rt></ruby>に <ruby>耐<rt>た</rt></ruby>えている。,He is enduring difficult training.,
ネーム<div class="hint">name; name badge</div>,ねーむ,name; name badge,<ruby>彼<rt>かれ</rt></ruby>のニックネームはトラさんです。,His nickname is &quot;Tora-san.&quot;,
修学旅行<div class="hint">school excursion</div>,しゅうがくりょこう,school excursion,<ruby>修学旅行<rt>しゅうがくりょこう</rt></ruby>で <ruby>京都<rt>きょうと</rt></ruby>に <ruby>行<rt>い</rt></ruby>きました。,I went to Kyoto on a school trip.,
修業<div class="hint">learning; study</div>,しゅうぎょう,learning; study,<ruby>彼<rt>かれ</rt></ruby>はフランスで 5 <ruby>年間<rt>ねんかん</rt></ruby> <ruby>料理<rt>りょうり</rt></ruby>の <ruby>修業<rt>しゅうぎょう</rt></ruby>をした。,He studied cookery in France for five years.,
中傷<div class="hint">libel; slander</div>,ちゅうしょう,libel; slander,<ruby>人<rt>ひと</rt></ruby>を <ruby>中傷<rt>ちゅうしょう</rt></ruby>してはいけません。,You must not malign other people.,
重傷<div class="hint">heavy injury</div>,じゅうしょう,heavy injury,<ruby>事故<rt>じこ</rt></ruby>で 2<ruby>人<rt>ふたり</rt></ruby>が <ruby>重傷<rt>じゅうしょう</rt></ruby>を <ruby>負<rt>お</rt></ruby>いました。,Two people sustained serious injury in the accident.,
換算<div class="hint">change; conversion</div>,かんさん,change; conversion,この <ruby>値段<rt>ねだん</rt></ruby>をユーロに <ruby>換算<rt>かんさん</rt></ruby>して <ruby>下<rt>くだ</rt></ruby>さい。,Please convert this price into Euros.,
引き換え<div class="hint">exchange</div>,ひきかえ,exchange,<ruby>商品<rt>しょうひん</rt></ruby>は <ruby>代金<rt>だいきん</rt></ruby>と <ruby>引き<ruby>換<rt>ひきか</rt></ruby>えにお <ruby>渡<rt>わた</rt></ruby>しいたします。,I will give you goods in exchange for the amount.,
換気<div class="hint">ventilation</div>,かんき,ventilation,<ruby>窓<rt>まど</rt></ruby>を <ruby>開<rt>あ</rt></ruby>けて <ruby>部屋<rt>へや</rt></ruby>を <ruby>換気<rt>かんき</rt></ruby>して <ruby>下<rt>くだ</rt></ruby>さい。,Open the window and let some air into the room.,
日替わり<div class="hint">changing on a daily basis</div>,ひがわり,changing on a daily basis,<ruby>定食<rt>ていしょく</rt></ruby>のメニューは <ruby>日替<rt>ひが</rt></ruby>わりです。,The set menu changes every day.,
傷害<div class="hint">bodily harm; injury</div>,しょうがい,bodily harm; injury,<ruby>彼<rt>かれ</rt></ruby>は <ruby>足<rt>あし</rt></ruby>に <ruby>軽<rt>かる</rt></ruby>い <ruby>傷害<rt>しょうがい</rt></ruby>を <ruby>負<rt>お</rt></ruby>った。,He sustained a slight foot injury.,
利害<div class="hint">interests</div>,りがい,interests,あの <ruby>会社<rt>かいしゃ</rt></ruby>とは <ruby>利害<rt>りがい</rt></ruby> <ruby>関係<rt>かんけい</rt></ruby>がない。,We have no interest in the company.,
被告<div class="hint">defendant; the accused</div>,ひこく,defendant; the accused,<ruby>被告<rt>ひこく</rt></ruby>に <ruby>判決<rt>はんけつ</rt></ruby>が <ruby>言い<ruby>渡<rt>いいわた</rt></ruby>された。,The verdict was handed down to the defendant.,
破産<div class="hint">bankruptcy</div>,はさん,bankruptcy,あの <ruby>会社<rt>かいしゃ</rt></ruby>は <ruby>昨年<rt>さくねん</rt></ruby> <ruby>破産<rt>はさん</rt></ruby>しました。,That company went bankrupt last year.,
破局<div class="hint">catastrophe; collapse</div>,はきょく,catastrophe; collapse,あのカップルは <ruby>破局<rt>はきょく</rt></ruby>したらしい。,That couple seems to have broken up.,
救済<div class="hint">aid; relief</div>,きゅうさい,aid; relief,ボランティアが <ruby>現地<rt>げんち</rt></ruby>に <ruby>救済<rt>きゅうさい</rt></ruby>に <ruby>駆<rt>か</rt></ruby>けつけた。,Volunteers hurried to give aid to the region.,
補助<div class="hint">assistance; support</div>,ほじょ,assistance; support,<ruby>市<rt>し</rt></ruby>から <ruby>学費<rt>がくひ</rt></ruby>の <ruby>補助<rt>ほじょ</rt></ruby>を <ruby>受<rt>う</rt></ruby>けました。,I get assistance for school fees from the city.,
センス<div class="hint">sense; taste</div>,せんす,sense; taste,<ruby>彼<rt>かれ</rt></ruby>は <ruby>服装<rt>ふくそう</rt></ruby>のセンスはないようだ。,He appears to have no sense of style.,
助言<div class="hint">advice</div>,じょげん,advice,<ruby>彼<rt>かれ</rt></ruby>は <ruby>親切<rt>しんせつ</rt></ruby>に <ruby>色々<rt>いろいろ</rt></ruby> <ruby>助言<rt>じょげん</rt></ruby>してくれました。,He kindly advised me on many matters.,
救援<div class="hint">relief; rescue</div>,きゅうえん,relief; rescue,<ruby>被害<rt>ひがい</rt></ruby> <ruby>者<rt>しゃ</rt></ruby>に <ruby>救援<rt>きゅうえん</rt></ruby> <ruby>物資<rt>ぶっし</rt></ruby>が <ruby>配<rt>くば</rt></ruby>られた。,The rescue supplies were distributed to the victims.,
派生<div class="hint">derivation</div>,はせい,derivation,その <ruby>問題<rt>もんだい</rt></ruby>から <ruby>新<rt>あら</rt></ruby>たな <ruby>問題<rt>もんだい</rt></ruby>が <ruby>派生<rt>はせい</rt></ruby>した。,A new problem has arisen out of that problem.,
警報<div class="hint">alarm; warning signal</div>,けいほう,alarm; warning signal,<ruby>大雨<rt>おおあめ</rt></ruby> <ruby>警報<rt>けいほう</rt></ruby>が <ruby>出<rt>だ</rt></ruby>されている。,A heavy rain warning has been issued.,
器官<div class="hint">organ</div>,きかん,organ,<ruby>肝臓<rt>かんぞう</rt></ruby>と <ruby>腎臓<rt>じんぞう</rt></ruby>はどちらも <ruby>大切<rt>たいせつ</rt></ruby>な <ruby>器官<rt>きかん</rt></ruby>です。,Both the liver and the kidney are important organs.,
管<div class="hint">pipe; tube</div>,くだ,pipe; tube,その <ruby>病人<rt>びょうにん</rt></ruby>は <ruby>鼻<rt>はな</rt></ruby>から <ruby>管<rt>くだ</rt></ruby>を <ruby>通<rt>とお</rt></ruby>していました。,The patient has a tube running through her nose.,
保管<div class="hint">custody; keep</div>,ほかん,custody; keep,<ruby>通帳<rt>かよいちょう</rt></ruby>は <ruby>金庫<rt>きんこ</rt></ruby>に <ruby>保管<rt>ほかん</rt></ruby>してあります。,The bank book is kept in the safe.,
犯行<div class="hint">crime; criminal act</div>,はんこう,crime; criminal act,これは <ruby>間違<rt>まちが</rt></ruby>いなく <ruby>彼<rt>かれ</rt></ruby>の <ruby>犯行<rt>はんこう</rt></ruby>です。,Without a doubt; this offence is his doing.,
有罪<div class="hint">guilt; guiltiness</div>,ゆうざい,guilt; guiltiness,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>有罪<rt>ゆうざい</rt></ruby>になりました。,She was found guilty.,
無罪<div class="hint">innocence</div>,むざい,innocence,<ruby>彼<rt>かれ</rt></ruby>は <ruby>無罪<rt>むざい</rt></ruby>だと <ruby>信<rt>しん</rt></ruby>じています。,I believe that he is innocent.,
暗殺<div class="hint">assassination</div>,あんさつ,assassination,その <ruby>大統領<rt>だいとうりょう</rt></ruby>は <ruby>暗殺<rt>あんさつ</rt></ruby>された。,The president was assassinated.,
逃走<div class="hint">escape; flight</div>,とうそう,escape; flight,<ruby>犯人<rt>はんにん</rt></ruby>が <ruby>一人<rt>ひとり</rt></ruby> <ruby>逃走<rt>とうそう</rt></ruby>している。,A criminal is making a getaway.,
戦車<div class="hint">tank</div>,せんしゃ,tank,その <ruby>男<rt>おとこ</rt></ruby>の <ruby>子<rt>こ</rt></ruby>は <ruby>戦車<rt>せんしゃ</rt></ruby>に <ruby>乗<rt>の</rt></ruby>ってみたかった。,The boy wanted to ride in the tank.,
終戦<div class="hint">end of the war</div>,しゅうせん,end of the war,<ruby>終戦<rt>しゅうせん</rt></ruby>から 60 <ruby>年<rt>ねん</rt></ruby> <ruby>以上<rt>いじょう</rt></ruby>が <ruby>経<rt>た</rt></ruby>ちました。,More than 60 years have elapsed since the war.,
ダイヤル<div class="hint">dial</div>,だいやる,dial,この <ruby>電話<rt>でんわ</rt></ruby> <ruby>番号<rt>ばんごう</rt></ruby>をダイヤルしてください。,Please dial this telephone number.,
論争<div class="hint">argument; dispute</div>,ろんそう,argument; dispute,「 <ruby>惑星<rt>わくせい</rt></ruby>」の <ruby>定義<rt>ていぎ</rt></ruby>について <ruby>論争<rt>ろんそう</rt></ruby>が <ruby>起<rt>お</rt></ruby>きた。,There was a controversy about the definition of a &quot;planet.&quot;,
競う<div class="hint">compete with; contend</div>,きそう,compete with; contend,<ruby>彼<rt>かれ</rt></ruby>らは <ruby>料理<rt>りょうり</rt></ruby>の <ruby>腕<rt>うで</rt></ruby>を <ruby>競<rt>きそ</rt></ruby>っています。,They are having a cookery competition.,
混同<div class="hint">confusion</div>,こんどう,confusion,<ruby>愛<rt>あい</rt></ruby>と <ruby>同情<rt>どうじょう</rt></ruby>を <ruby>混同<rt>こんどう</rt></ruby>してはいけない。,Do not confuse love with sympathy.,
乱用<div class="hint">abuse; misuse</div>,らんよう,abuse; misuse,<ruby>彼<rt>かれ</rt></ruby>は <ruby>職権<rt>しょっけん</rt></ruby>を <ruby>乱用<rt>らんよう</rt></ruby>して <ruby>個人<rt>こじん</rt></ruby> <ruby>情報<rt>じょうほう</rt></ruby>を <ruby>手<rt>て</rt></ruby>に <ruby>入<rt>い</rt></ruby>れた。,He abused his office and obtained personal data.,
紛失<div class="hint">loss</div>,ふんしつ,loss,<ruby>大切<rt>たいせつ</rt></ruby>な <ruby>書類<rt>しょるい</rt></ruby>を <ruby>紛失<rt>ふんしつ</rt></ruby>してしまった。,An important document has been lost.,
紛争<div class="hint">conflict; strife</div>,ふんそう,conflict; strife,<ruby>長年<rt>ながねん</rt></ruby>あの <ruby>国<rt>くに</rt></ruby>では <ruby>紛争<rt>ふんそう</rt></ruby>が <ruby>続<rt>つづ</rt></ruby>いていました。,The dispute has been going on for many years in that country.,
統制<div class="hint">control; regulation</div>,とうせい,control; regulation,<ruby>生徒<rt>せいと</rt></ruby>たちは <ruby>統制<rt>とうせい</rt></ruby>のとれた <ruby>動<rt>うご</rt></ruby>きを <ruby>見<rt>み</rt></ruby>せた。,Students showed disciplined action.,
統治<div class="hint">government; rule</div>,とうち,government; rule,あの <ruby>国<rt>くに</rt></ruby>は <ruby>女王<rt>じょおう</rt></ruby>が <ruby>統治<rt>とうち</rt></ruby>しています。,A queen rules that country.,
探究<div class="hint">investigation; search</div>,たんきゅう,investigation; search,<ruby>宇宙<rt>うちゅう</rt></ruby> <ruby>探究<rt>たんきゅう</rt></ruby>で <ruby>色々<rt>いろいろ</rt></ruby>なことが <ruby>分<rt>わ</rt></ruby>かってきている。,We are coming to understand many things from space exploration.,
探検<div class="hint">exploration</div>,たんけん,exploration,<ruby>子供<rt>こども</rt></ruby>は <ruby>探検<rt>たんけん</rt></ruby>が <ruby>大好<rt>だいす</rt></ruby>きです。,Children love exploring.,
探る<div class="hint">probe; search into</div>,さぐる,probe; search into,<ruby>各国<rt>かっこく</rt></ruby>がテロリストの <ruby>動<rt>うご</rt></ruby>きを <ruby>探<rt>さぐ</rt></ruby>っています。,Each country is searching for terrorist movements.,
使い捨て<div class="hint">disposable; throwaway</div>,つかいすて,disposable; throwaway,<ruby>使い<ruby>捨<rt>つかいす</rt></ruby>てのコンタクトレンズを <ruby>使<rt>つか</rt></ruby>っています。,I use disposable contact lenses.,
捜索<div class="hint">investigation; search</div>,そうさく,investigation; search,<ruby>生存<rt>せいぞん</rt></ruby> <ruby>者<rt>しゃ</rt></ruby>の <ruby>捜索<rt>そうさく</rt></ruby>が <ruby>続<rt>つづ</rt></ruby>いています。,The search for survivors continues.,
深み<div class="hint">depth; profundity</div>,ふかみ,depth; profundity,<ruby>醤油<rt>しょうゆ</rt></ruby>を <ruby>入<rt>い</rt></ruby>れたら <ruby>味<rt>あじ</rt></ruby>に <ruby>深<rt>ふか</rt></ruby>みが <ruby>出<rt>で</rt></ruby>た。,Adding soy sauce gave it a richer taste.,
アレルギー<div class="hint">allergy; be allergic</div>,あれるぎー,allergy; be allergic,<ruby>私<rt>わたし</rt></ruby>は <ruby>食べ<ruby>物<rt>たべもの</rt></ruby>のアレルギーがあります。,I have food allergies.,
落下<div class="hint">drop; fall</div>,らっか,drop; fall,トンネル <ruby>内<rt>ない</rt></ruby>のコンクリートが <ruby>突然<rt>とつぜん</rt></ruby> <ruby>落下<rt>らっか</rt></ruby>した。,Suddenly; some concrete in the tunnel fell down.,
脱落<div class="hint">be omitted; drop out</div>,だつらく,be omitted; drop out,<ruby>昨日<rt>きのう</rt></ruby>のマラソンでは 15 <ruby>人<rt>にん</rt></ruby> <ruby>脱落<rt>だつらく</rt></ruby>しました。,15 people dropped out of the marathon yesterday.,
落語<div class="hint">rakugo (Japanese comic story)</div>,らくご,rakugo (Japanese comic story),<ruby>家族<rt>かぞく</rt></ruby>で <ruby>落語<rt>らくご</rt></ruby>を <ruby>聞<rt>き</rt></ruby>きに <ruby>行<rt>い</rt></ruby>った。,We went as a family to see the rakugo performance.,
一段落<div class="hint">end of chapter; pause</div>,いちだんらく,end of chapter; pause,<ruby>仕事<rt>しごと</rt></ruby>が <ruby>一段落<rt>いちだんらく</rt></ruby>しました。,The first stage of the job is finished.,
集落<div class="hint">colony; community</div>,しゅうらく,colony; community,この <ruby>集落<rt>しゅうらく</rt></ruby>ではお <ruby>年寄<rt>としよ</rt></ruby>りが <ruby>増<rt>ふ</rt></ruby>えています。,Elderly people are increasing in this village.,
電波<div class="hint">electromagnetic waves; radio waves</div>,でんぱ,electromagnetic waves; radio waves,ここは <ruby>携帯<rt>けいたい</rt></ruby> <ruby>電話<rt>でんわ</rt></ruby>の <ruby>電波<rt>でんぱ</rt></ruby>が <ruby>入<rt>はい</rt></ruby>りにくい。,The cell phone signal is difficult to get here.,
波長<div class="hint">wavelength</div>,はちょう,wavelength,<ruby>私<rt>わたし</rt></ruby>と <ruby>彼女<rt>かのじょ</rt></ruby>はとても <ruby>波長<rt>はちょう</rt></ruby>が <ruby>合<rt>あ</rt></ruby>う。,She and I are on the same wavelength.,
波乱<div class="hint">disturbance; fluctuation</div>,はらん,disturbance; fluctuation,<ruby>彼<rt>かれ</rt></ruby>の <ruby>人生<rt>じんせい</rt></ruby>は <ruby>波乱<rt>はらん</rt></ruby>に <ruby>満<rt>み</rt></ruby>ちている。,His life is full of trouble.,
流石<div class="hint">just as expected; like</div>,さすが,just as expected; like,すごいなーさすがだね。,That's great; I might have expected as much from you.,
流し<div class="hint">cruising taxi; sink</div>,ながし,cruising taxi; sink,<ruby>流<rt>なが</rt></ruby>しのお <ruby>皿<rt>さら</rt></ruby>を <ruby>洗<rt>あら</rt></ruby>ってください。,Please wash the plates in the sink.,
電流<div class="hint">electric current</div>,でんりゅう,electric current,この <ruby>機械<rt>きかい</rt></ruby>には <ruby>強<rt>つよ</rt></ruby>い <ruby>電流<rt>でんりゅう</rt></ruby>が <ruby>流<rt>なが</rt></ruby>れています。,There is a strong electric current flowing through this machine.,
風流<div class="hint">refined elegance</div>,ふうりゅう,refined elegance,<ruby>私<rt>わたし</rt></ruby>は <ruby>京都<rt>きょうと</rt></ruby>で <ruby>風流<rt>ふうりゅう</rt></ruby>な <ruby>旅館<rt>りょかん</rt></ruby>に <ruby>泊<rt>と</rt></ruby>まった。,I stayed at an elegant inn in Kyoto.,
崩壊<div class="hint">collapse; crumbling</div>,ほうかい,collapse; crumbling,ベルリンの <ruby>壁<rt>かべ</rt></ruby>は <ruby>崩壊<rt>ほうかい</rt></ruby>しました。,The Berlin Wall collapsed.,
洗練<div class="hint">polishing; refinement</div>,せんれん,polishing; refinement,その <ruby>車<rt>くるま</rt></ruby>は <ruby>洗練<rt>せんれん</rt></ruby>されたデザインが <ruby>売<rt>う</rt></ruby>りだ。,The refined design of that car is popular.,
ダイヤ<div class="hint">train schedule</div>,だいや,train schedule,<ruby>電車<rt>でんしゃ</rt></ruby>はダイヤ <ruby>通<rt>どお</rt></ruby>りに <ruby>運行<rt>うんこう</rt></ruby>しています。,The train is operating according to the timetable.,
原油<div class="hint">crude oil</div>,げんゆ,crude oil,<ruby>原油<rt>げんゆ</rt></ruby>の <ruby>価格<rt>かかく</rt></ruby>が <ruby>値上<rt>ねあ</rt></ruby>がりした。,The price of crude oil has risen.,
油田<div class="hint">oil field</div>,ゆでん,oil field,その <ruby>国<rt>くに</rt></ruby>で <ruby>初<rt>はつ</rt></ruby>の <ruby>油田<rt>ゆでん</rt></ruby>が <ruby>開発<rt>かいはつ</rt></ruby>された。,The first oilfield in that country was developed.,
浮気<div class="hint">inconstancy</div>,うわき,inconstancy,<ruby>彼<rt>かれ</rt></ruby>は <ruby>奥<rt>おく</rt></ruby>さんに <ruby>浮気<rt>うわき</rt></ruby>がばれてしまった。,His infidelity was discovered by his wife.,
没落<div class="hint">fall; ruin</div>,ぼつらく,fall; ruin,その <ruby>帝国<rt>ていこく</rt></ruby>は <ruby>没落<rt>ぼつらく</rt></ruby>した。,That empire came to ruin.,
銀河<div class="hint">galaxy; Milky Way</div>,ぎんが,galaxy; Milky Way,<ruby>銀河<rt>ぎんが</rt></ruby>には <ruby>数え<ruby>切<rt>かぞえき</rt></ruby>れないほど <ruby>星<rt>ほし</rt></ruby>がある。,There are too many stars to count in the Milky Way.,
河川<div class="hint">rivers</div>,かせん,rivers,<ruby>日本<rt>にほん</rt></ruby>の <ruby>河川<rt>かせん</rt></ruby>は <ruby>比較的<rt>ひかくてき</rt></ruby> <ruby>短<rt>みじか</rt></ruby>い。,Rivers in Japan are comparatively short.,
運河<div class="hint">canal</div>,うんが,canal,その <ruby>町<rt>まち</rt></ruby>にはいくつもの <ruby>運河<rt>うんが</rt></ruby>がある。,There are many canals in the town.,
冷水<div class="hint">cold water</div>,れいすい,cold water,ほうれん <ruby>草<rt>そう</rt></ruby>は <ruby>茹<rt>ゆ</rt></ruby>でたあと <ruby>冷水<rt>れいすい</rt></ruby>にさらしてください。,Please rinse the spinach in cold water after boiling.,
寒冷<div class="hint">cold; coldness</div>,かんれい,cold; coldness,アラスカは <ruby>寒冷<rt>かんれい</rt></ruby>な <ruby>土地<rt>とち</rt></ruby>です。,Alaska is a cold region.,
凍結<div class="hint">freezing</div>,とうけつ,freezing,<ruby>路面<rt>ろめん</rt></ruby>の <ruby>凍結<rt>とうけつ</rt></ruby>に <ruby>注意<rt>ちゅうい</rt></ruby>してください。,Please be careful of ice on the road.,
文庫<div class="hint">collection of literary works; library</div>,ぶんこ,collection of literary works; library,<ruby>文庫本<rt>ぶんこぼん</rt></ruby>は <ruby>持ち<ruby>歩<rt>もちある</rt></ruby>きに <ruby>便利<rt>べんり</rt></ruby>だ。,Paperbacks are convenient for carrying around.,
冷蔵<div class="hint">cold storage</div>,れいぞう,cold storage,このお <ruby>菓子<rt>かし</rt></ruby>は <ruby>要<rt>よう</rt></ruby> <ruby>冷蔵<rt>れいぞう</rt></ruby>だ。,These cakes must be refrigerated.,
快速<div class="hint">fast train; high speed</div>,かいそく,fast train; high speed,<ruby>快速<rt>かいそく</rt></ruby>は 1 <ruby>時間<rt>じかん</rt></ruby>に 2 <ruby>本<rt>ほん</rt></ruby>あります。,There are two rapid-transit trains per hour.,
不快<div class="hint">unpleasant</div>,ふかい,unpleasant,<ruby>梅雨<rt>つゆ</rt></ruby>はとても <ruby>不快<rt>ふかい</rt></ruby>です。,The rainy season is quite unpleasant.,
ドライ<div class="hint">dry; no love lost</div>,どらい,dry; no love lost,<ruby>私<rt>わたし</rt></ruby>と <ruby>彼<rt>かれ</rt></ruby>はドライな <ruby>関係<rt>かんけい</rt></ruby>です。,He and I have a business-like relationship.,
快楽<div class="hint">enjoyment; pleasure</div>,かいらく,enjoyment; pleasure,<ruby>彼<rt>かれ</rt></ruby>のような <ruby>快楽<rt>かいらく</rt></ruby> <ruby>主義<rt>しゅぎ</rt></ruby>にはついていけない。,I cannot keep up with a hedonist like him.,
適量<div class="hint">proper quantity</div>,てきりょう,proper quantity,フライパンに <ruby>適量<rt>てきりょう</rt></ruby>のバターを <ruby>入<rt>い</rt></ruby>れてください。,Please put a suitable amount of butter in the frying pan.,
適性<div class="hint">aptitude; suitability</div>,てきせい,aptitude; suitability,<ruby>適性<rt>てきせい</rt></ruby>を <ruby>見<rt>み</rt></ruby>るためのテストを <ruby>受<rt>う</rt></ruby>けました。,I took an aptitude test.,
摘発<div class="hint">exposure; laying bare</div>,てきはつ,exposure; laying bare,<ruby>会社<rt>かいしゃ</rt></ruby>の <ruby>不正<rt>ふせい</rt></ruby>が <ruby>摘発<rt>てきはつ</rt></ruby>されました。,Injustices in the company were uncovered.,
感染<div class="hint">infection</div>,かんせん,infection,インフルエンザに <ruby>感染<rt>かんせん</rt></ruby>しました。,I have gotten the flu.,
染色<div class="hint">dyeing</div>,せんしょく,dyeing,<ruby>私<rt>わたし</rt></ruby>の <ruby>妹<rt>いもうと</rt></ruby>は <ruby>染色<rt>せんしょく</rt></ruby>を <ruby>習<rt>なら</rt></ruby>っている。,My younger sister is learning to dye.,
染み<div class="hint">blot; stain</div>,しみ,blot; stain,シャツに <ruby>染<rt>し</rt></ruby>みができてしまった。,There is a stain on the shirt.,
排水<div class="hint">drainage; sewerage</div>,はいすい,drainage; sewerage,このパイプは <ruby>排水<rt>はいすい</rt></ruby>のためのものです。,This pipe is the one for the drain.,
破棄<div class="hint">annulment; breaking</div>,はき,annulment; breaking,<ruby>取引<rt>とりひき</rt></ruby> <ruby>先<rt>さき</rt></ruby>との <ruby>契約<rt>けいやく</rt></ruby>を <ruby>破棄<rt>はき</rt></ruby>した。,The contract with the customer was annulled.,
夜景<div class="hint">night view</div>,やけい,night view,<ruby>車窓<rt>しゃそう</rt></ruby>からの <ruby>夜景<rt>やけい</rt></ruby>がロマンチックだ。,The night view from the car window is romantic.,
投影<div class="hint">cast shadow; projection</div>,とうえい,cast shadow; projection,この <ruby>絵<rt>え</rt></ruby>に <ruby>彼<rt>かれ</rt></ruby>の <ruby>心<rt>こころ</rt></ruby>が <ruby>投影<rt>とうえい</rt></ruby>されている。,His inner feelings are reflected in this picture.,
人影<div class="hint">human figure</div>,ひとかげ,human figure,この <ruby>通<rt>とお</rt></ruby>りは <ruby>夜<rt>よる</rt></ruby>は <ruby>人影<rt>ひとかげ</rt></ruby>がまばらだ。,There are few people to be seen on this street at night.,
面影<div class="hint">face; traces</div>,おもかげ,face; traces,その <ruby>町<rt>まち</rt></ruby>はすっかり <ruby>変<rt>か</rt></ruby>わり <ruby>昔<rt>むかし</rt></ruby>の <ruby>面影<rt>おもかげ</rt></ruby>はない。,The town has changed completely and there is nothing left of how it used to look.,
音響<div class="hint">sound</div>,おんきょう,sound,この <ruby>劇場<rt>げきじょう</rt></ruby>の <ruby>音響<rt>おんきょう</rt></ruby>は <ruby>素晴<rt>すば</rt></ruby>らしい。,The acoustics in this theater are wonderful.,
コットン<div class="hint">cotton</div>,こっとん,cotton,この Tシャツ<rt>てぃーしゃつ</rt></ruby>はコットンでできている。,This T-shirt is made of cotton.,
響き<div class="hint">sound</div>,ひびき,sound,<ruby>私<rt>わたし</rt></ruby>はスペイン <ruby>語<rt>ご</rt></ruby>の <ruby>響<rt>ひび</rt></ruby>きが <ruby>好<rt>す</rt></ruby>きだ。,I like the sound of Spanish.,
反響<div class="hint">echo; response</div>,はんきょう,echo; response,この <ruby>作品<rt>さくひん</rt></ruby>には <ruby>大<rt>おお</rt></ruby>きな <ruby>反響<rt>はんきょう</rt></ruby>がありました。,This work was highly influential.,
交響曲<div class="hint">symphony</div>,こうきょうきょく,symphony,<ruby>次<rt>つぎ</rt></ruby>は <ruby>交響曲<rt>こうきょうきょく</rt></ruby> 5 <ruby>番<rt>ばん</rt></ruby>が <ruby>演奏<rt>えんそう</rt></ruby>される。,Next; the fifth symphony will be performed.,
境内<div class="hint">grounds</div>,けいだい,grounds,<ruby>子供<rt>こども</rt></ruby>のころ <ruby>神社<rt>じんじゃ</rt></ruby>の <ruby>境内<rt>けいだい</rt></ruby>で <ruby>遊<rt>あそ</rt></ruby>びました。,I played inside the Shinto shrine grounds when I was a child.,
心境<div class="hint">mental attitude</div>,しんきょう,mental attitude,<ruby>複雑<rt>ふくざつ</rt></ruby>な <ruby>心境<rt>しんきょう</rt></ruby>です。,I have mixed feelings.,
客観<div class="hint">object; objective</div>,きゃっかん,object; objective,<ruby>自分<rt>じぶん</rt></ruby>を <ruby>客観<rt>きゃっかん</rt></ruby> <ruby>視<rt>し</rt></ruby>することは <ruby>難<rt>むずか</rt></ruby>しい。,It is difficult to look at oneself objectively.,
月光<div class="hint">moonlight; moonshine</div>,げっこう,moonlight; moonshine,<ruby>窓<rt>まど</rt></ruby>から <ruby>月光<rt>げっこう</rt></ruby>が <ruby>差し<ruby>込<rt>さしこ</rt></ruby>んでいた。,Moonlight shone in through the window.,
光景<div class="hint">sight; spectacle</div>,こうけい,sight; spectacle,<ruby>驚<rt>おどろ</rt></ruby>くような <ruby>光景<rt>こうけい</rt></ruby>が <ruby>目<rt>め</rt></ruby>に <ruby>入<rt>はい</rt></ruby>った。,An amazing spectacle caught my eye.,
光線<div class="hint">beam; ray</div>,こうせん,beam; ray,<ruby>強<rt>つよ</rt></ruby>い <ruby>光線<rt>こうせん</rt></ruby>で <ruby>目<rt>め</rt></ruby>を <ruby>痛<rt>いた</rt></ruby>めた。,My eyes hurt in the strong light.,
測量<div class="hint">measurement; surveying</div>,そくりょう,measurement; surveying,<ruby>土地<rt>とち</rt></ruby>を <ruby>売<rt>う</rt></ruby>る <ruby>前<rt>まえ</rt></ruby>に <ruby>測量<rt>そくりょう</rt></ruby>をする <ruby>必要<rt>ひつよう</rt></ruby>がある。,It is necessary to measure it before the land is sold.,
星座<div class="hint">constellation</div>,せいざ,constellation,<ruby>今夜<rt>こんや</rt></ruby>はその <ruby>星座<rt>せいざ</rt></ruby>が <ruby>良<rt>よ</rt></ruby>く <ruby>見<rt>み</rt></ruby>える。,You can see the constellations of the stars clearly tonight.,
