鬘<div class="hint">toupee; wig</div>,かつら,toupee; wig,<ruby>彼<rt>かれ</rt></ruby>はかつらをつけているらしい。,He seems to be wearing a wig.,
無礼<div class="hint">discourtesy; rudeness</div>,ぶれい,discourtesy; rudeness,あの <ruby>男<rt>おとこ</rt></ruby>は <ruby>本当<rt>ほんとう</rt></ruby>に <ruby>無礼<rt>ぶれい</rt></ruby>だ。,That man is really rude.,
うずうず<div class="hint">impatience</div>,うずうず,impatience,<ruby>早<rt>はや</rt></ruby>く <ruby>出<rt>で</rt></ruby>かけたくてうずうずする。,He is impatient to go out.,
礼状<div class="hint">letter of thanks</div>,れいじょう,letter of thanks,<ruby>彼女<rt>かのじょ</rt></ruby>に <ruby>礼状<rt>れいじょう</rt></ruby>を <ruby>書<rt>か</rt></ruby>きました。,I wrote a letter of thanks to her.,
反射的<div class="hint">reflective; reflexive</div>,はんしゃてき,reflective; reflexive,<ruby>彼<rt>かれ</rt></ruby>は <ruby>反射<rt>はんしゃ</rt></ruby> <ruby>的<rt>てき</rt></ruby>にボールをよけた。,He dodged the ball instinctively.,
程なく<div class="hint">soon</div>,ほどなく,soon,<ruby>社長<rt>しゃちょう</rt></ruby>は <ruby>程<rt>ほど</rt></ruby>なくいらっしゃいます。,The president will come shortly.,
優越感<div class="hint">superiority complex</div>,ゆうえつかん,superiority complex,<ruby>彼<rt>かれ</rt></ruby>は <ruby>自分<rt>じぶん</rt></ruby>の <ruby>売上<rt>うりあげ</rt></ruby>が <ruby>高<rt>たか</rt></ruby>いことに <ruby>優越<rt>ゆうえつ</rt></ruby> <ruby>感<rt>かん</rt></ruby>を <ruby>持<rt>も</rt></ruby>っている。,He thinks he is better than others because his sales figures are high.,
優等生<div class="hint">honor student</div>,ゆうとうせい,honor student,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>大学<rt>だいがく</rt></ruby>までずっと <ruby>優等生<rt>ゆうとうせい</rt></ruby>でした。,She was a top class student right up to university.,
独りぼっち<div class="hint">solitary</div>,ひとりぼっち,solitary,あなたは <ruby>独<rt>ひと</rt></ruby>りぼっちではありません。,You are not alone.,
身軽<div class="hint">agile; light</div>,みがる,agile; light,<ruby>私<rt>わたし</rt></ruby>は <ruby>身軽<rt>みがる</rt></ruby>に <ruby>旅行<rt>りょこう</rt></ruby>するのが <ruby>好<rt>す</rt></ruby>きです。,I like to travel lightly.,
身元<div class="hint">one's birth; one's identity</div>,みもと,one's birth; one's identity,<ruby>彼<rt>かれ</rt></ruby>の <ruby>身元<rt>みもと</rt></ruby>を <ruby>調<rt>しら</rt></ruby>べている。,They are investigating his background.,
身の上<div class="hint">one's career; one's condition</div>,みのうえ,one's career; one's condition,<ruby>身の<ruby>上<rt>みのうえ</rt></ruby> <ruby>相談<rt>そうだん</rt></ruby>に <ruby>乗<rt>の</rt></ruby>るのもカウンセラーの <ruby>仕事<rt>しごと</rt></ruby>だ。,It is also a counselor's job to give personal advice.,
びくびく<div class="hint">scared</div>,びくびく,scared,そんなにびくびくしないでください。,Don't be so timid.,
身寄り<div class="hint">relation; relative</div>,みより,relation; relative,<ruby>彼<rt>かれ</rt></ruby>は <ruby>身寄<rt>みよ</rt></ruby>りがない。,He doesn't have any close relatives.,
身投げ<div class="hint">suicide by drowning or jumping</div>,みなげ,suicide by drowning or jumping,<ruby>彼<rt>かれ</rt></ruby>は <ruby>崖<rt>がけ</rt></ruby>から <ruby>身投<rt>みな</rt></ruby>げした。,He threw himself from the cliff.,
占う<div class="hint">divine; tell fortune</div>,うらなう,divine; tell fortune,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>将来<rt>しょうらい</rt></ruby>を <ruby>占<rt>うらな</rt></ruby>ってもらった。,She had her fortune told.,
独り占め<div class="hint">exclusive possession</div>,ひとりじめ,exclusive possession,<ruby>彼女<rt>かのじょ</rt></ruby>はクラスの <ruby>人気<rt>にんき</rt></ruby>を <ruby>独り<ruby>占<rt>ひとりじ</rt></ruby>めしている。,She is getting all the attention in class.,
買い占める<div class="hint">buy up</div>,かいしめる,buy up,<ruby>彼<rt>かれ</rt></ruby>らはその <ruby>会社<rt>かいしゃ</rt></ruby>の <ruby>株<rt>かぶ</rt></ruby>を <ruby>買い<ruby>占<rt>かいし</rt></ruby>めようとしている。,They are trying to buy up the company's shares.,
目処<div class="hint">goal; prospects</div>,めど,goal; prospects,<ruby>引越<rt>ひっこ</rt></ruby>しのめどがついた。,The prospect of moving house arose.,
仲買<div class="hint">brokerage; middleman</div>,なかがい,brokerage; middleman,<ruby>彼<rt>かれ</rt></ruby>は <ruby>株<rt>かぶ</rt></ruby>の <ruby>仲買<rt>なかがい</rt></ruby>をしています。,He is a stockbroker.,
お節介<div class="hint">meddlesome</div>,おせっかい,meddlesome,お <ruby>節介<rt>せっかい</rt></ruby>なおばさんだ。,She is an interfering old woman.,
照れる<div class="hint">be abashed; feel shy</div>,てれる,be abashed; feel shy,<ruby>彼<rt>かれ</rt></ruby>は <ruby>先生<rt>せんせい</rt></ruby>にほめられて <ruby>照<rt>て</rt></ruby>れた。,He blushed when praised by the teacher.,
よちよち<div class="hint">toddling</div>,よちよち,toddling,<ruby>娘<rt>むすめ</rt></ruby>がよちよち <ruby>歩<rt>ある</rt></ruby>きを <ruby>始<rt>はじ</rt></ruby>めた。,My daughter started to toddle.,
互い違い<div class="hint">alternate</div>,たがいちがい,alternate,その 2 <ruby>色<rt>しょく</rt></ruby>を <ruby>互い<ruby>違<rt>たがいちが</rt></ruby>いに <ruby>並<rt>なら</rt></ruby>べてみよう。,Let's arrange the two colors alternately.,
適齢期<div class="hint">marriageable age</div>,てきれいき,marriageable age,あの <ruby>家<rt>いえ</rt></ruby>には <ruby>適齢<rt>てきれい</rt></ruby> <ruby>期<rt>き</rt></ruby>の <ruby>娘<rt>むすめ</rt></ruby>さんがいます。,That family has a grown up daughter in her prime.,
愛読<div class="hint">love reading</div>,あいどく,love reading,<ruby>私<rt>わたし</rt></ruby>は <ruby>彼<rt>かれ</rt></ruby>の <ruby>作品<rt>さくひん</rt></ruby>を <ruby>愛読<rt>あいどく</rt></ruby>している。,I like to read his work.,
愛しい<div class="hint">beloved; darling</div>,いとしい,beloved; darling,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>愛<rt>いと</rt></ruby>しい <ruby>夫<rt>おっと</rt></ruby>の <ruby>帰<rt>かえ</rt></ruby>りを <ruby>待<rt>ま</rt></ruby>ち <ruby>続<rt>つづ</rt></ruby>けた。,She kept waiting for the return of her beloved husband.,
恋しい<div class="hint">beloved; dear</div>,こいしい,beloved; dear,<ruby>恋<rt>こい</rt></ruby>しい <ruby>人<rt>ひと</rt></ruby>に <ruby>手紙<rt>てがみ</rt></ruby>を <ruby>書<rt>か</rt></ruby>きました。,I wrote a letter to a person dear to me.,
延滞<div class="hint">arrears</div>,えんたい,arrears,<ruby>借<rt>か</rt></ruby>りた CDを <ruby>返<rt>かえ</rt></ruby>し <ruby>忘<rt>わす</rt></ruby>れ <ruby>延滞<rt>えんたい</rt></ruby> <ruby>料金<rt>りょうきん</rt></ruby>を <ruby>取<rt>と</rt></ruby>られた。,I forgot to return the CD I rented; so I was charged a late fee.,
祝電<div class="hint">congratulatory telegram</div>,しゅくでん,congratulatory telegram,<ruby>二人<rt>ふたり</rt></ruby>に <ruby>沢山<rt>たくさん</rt></ruby>の <ruby>祝電<rt>しゅくでん</rt></ruby>が <ruby>届<rt>とど</rt></ruby>いた。,A lot of congratulatory telegrams were delivered to the couple.,
不純<div class="hint">impure; mixed</div>,ふじゅん,impure; mixed,<ruby>彼<rt>かれ</rt></ruby>は <ruby>不純<rt>ふじゅん</rt></ruby>な <ruby>動機<rt>どうき</rt></ruby>で <ruby>彼女<rt>かのじょ</rt></ruby>に <ruby>近付<rt>ちかづ</rt></ruby>いた。,He approached her with an ulterior motive.,
初夢<div class="hint">first dream of the New Year</div>,はつゆめ,first dream of the New Year,<ruby>今年<rt>ことし</rt></ruby>の <ruby>初夢<rt>はつゆめ</rt></ruby>は <ruby>何<rt>なん</rt></ruby>でしたか。,What was your first dream of the New Year?,
すれすれ<div class="hint">very close to</div>,すれすれ,very close to,ツバメが <ruby>地上<rt>ちじょう</rt></ruby>すれすれに <ruby>飛<rt>と</rt></ruby>んで <ruby>行<rt>い</rt></ruby>きました。,The swallow flew close to the ground.,
慎む<div class="hint">be prudent</div>,つつしむ,be prudent,<ruby>私語<rt>しご</rt></ruby>は <ruby>慎<rt>つつし</rt></ruby>んでください。,Please refrain from whispering.,
苦笑い<div class="hint">bitter smile</div>,にがわらい,bitter smile,<ruby>彼<rt>かれ</rt></ruby>は <ruby>苦笑<rt>にがわら</rt></ruby>いを <ruby>浮<rt>う</rt></ruby>かべた。,A wry smile rose on his lips.,
作り笑い<div class="hint">forced laugh</div>,つくりわらい,forced laugh,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>作り<ruby>笑<rt>つくりわら</rt></ruby>いを <ruby>浮<rt>う</rt></ruby>かべた。,A forced smile flickered on her face.,
無恥<div class="hint">impudence; shamelessness</div>,むち,impudence; shamelessness,そんなことをするなんて <ruby>彼<rt>かれ</rt></ruby>は <ruby>無恥<rt>むち</rt></ruby>な <ruby>人間<rt>にんげん</rt></ruby>だ。,He has no shame doing something like that.,
恥知らず<div class="hint">brazen; shameless person</div>,はじしらず,brazen; shameless person,そんな <ruby>恥知<rt>はじし</rt></ruby>らずな <ruby>行<rt>おこな</rt></ruby>いはやめなさい。,Stop doing such brazen things.,
恥さらし<div class="hint">disgrace; shame</div>,はじさらし,disgrace; shame,<ruby>彼<rt>かれ</rt></ruby>は <ruby>一家<rt>いっか</rt></ruby>の <ruby>恥<rt>はじ</rt></ruby>さらしだ。,He is the black sheep of the family.,
恥じる<div class="hint">feel ashamed</div>,はじる,feel ashamed,<ruby>間違<rt>まちが</rt></ruby>えを <ruby>恥<rt>は</rt></ruby>じることはありません。,There is no need to be ashamed of mistakes.,
答弁<div class="hint">defense of oneself; reply</div>,とうべん,defense of oneself; reply,<ruby>大臣<rt>だいじん</rt></ruby>の <ruby>答弁<rt>とうべん</rt></ruby>は <ruby>簡潔<rt>かんけつ</rt></ruby>で <ruby>分<rt>わ</rt></ruby>かりやすかった。,The minister's answer was concise and comprehensible.,
代弁<div class="hint">payment by proxy; speaking on behalf</div>,だいべん,payment by proxy; speaking on behalf,<ruby>彼<rt>かれ</rt></ruby>が <ruby>私<rt>わたし</rt></ruby>の <ruby>気持<rt>きも</rt></ruby>ちを <ruby>代弁<rt>だいべん</rt></ruby>してくれました。,He spoke for my feelings.,
まごまご<div class="hint">awkwardly; confusedly</div>,まごまご,awkwardly; confusedly,<ruby>彼<rt>かれ</rt></ruby>は <ruby>初<rt>はじ</rt></ruby>めての <ruby>海外<rt>かいがい</rt></ruby> <ruby>旅行<rt>りょこう</rt></ruby>でまごまごしていた。,He was reluctant to travel abroad for the first time.,
弁済<div class="hint">payment; repayment</div>,べんさい,payment; repayment,<ruby>期日<rt>きじつ</rt></ruby>までに <ruby>債務<rt>さいむ</rt></ruby>を <ruby>弁済<rt>べんさい</rt></ruby>した。,I repaid the debt by the end of the term.,
弁明<div class="hint">explanation</div>,べんめい,explanation,<ruby>彼<rt>かれ</rt></ruby>の <ruby>弁明<rt>べんめい</rt></ruby>も <ruby>聞<rt>き</rt></ruby>いてみましょう。,Let's hear his excuse.,
弁解<div class="hint">vindication</div>,べんかい,vindication,<ruby>弁解<rt>べんかい</rt></ruby>は <ruby>聞<rt>き</rt></ruby>きたくありません。,I do not want to hear any excuses.,
弁える<div class="hint">distinguish; tell</div>,わきまえる,distinguish; tell,<ruby>自分<rt>じぶん</rt></ruby>の <ruby>立場<rt>たちば</rt></ruby>をわきまえてください。,Please understand my position.,
運転士<div class="hint">driver</div>,うんてんし,driver,<ruby>彼<rt>かれ</rt></ruby>は <ruby>電車<rt>でんしゃ</rt></ruby>の <ruby>運転<rt>うんてん</rt></ruby> <ruby>士<rt>し</rt></ruby>です。,He is a train driver.,
代議士<div class="hint">member of the Diet</div>,だいぎし,member of the Diet,<ruby>彼<rt>かれ</rt></ruby>は <ruby>代議士<rt>だいぎし</rt></ruby>に <ruby>立候補<rt>りっこうほ</rt></ruby>した。,He ran for office in the Diet.,
患う<div class="hint">fall ill</div>,わずらう,fall ill,<ruby>祖母<rt>そぼ</rt></ruby>は <ruby>病気<rt>びょうき</rt></ruby>を <ruby>患<rt>わずら</rt></ruby>っていた。,My grandmother suffered from an illness.,
否決<div class="hint">rejection; voting down</div>,ひけつ,rejection; voting down,<ruby>議案<rt>ぎあん</rt></ruby>は <ruby>否決<rt>ひけつ</rt></ruby>されました。,The bill was voted down.,
安否<div class="hint">safety; welfare</div>,あんぴ,safety; welfare,<ruby>乗客<rt>じょうきゃく</rt></ruby>の <ruby>安否<rt>あんぴ</rt></ruby>が <ruby>気掛<rt>きが</rt></ruby>かりです。,There are concerns about passenger safety.,
てきぱき<div class="hint">briskly; promptly</div>,てきぱき,briskly; promptly,<ruby>彼女<rt>かのじょ</rt></ruby>はいつもてきぱきと <ruby>仕事<rt>しごと</rt></ruby>をする。,She always works briskly.,
洋裁<div class="hint">western-style dressmaking</div>,ようさい,western-style dressmaking,<ruby>母<rt>はは</rt></ruby>は <ruby>洋裁<rt>ようさい</rt></ruby>が <ruby>得意<rt>とくい</rt></ruby>だ。,My mother is good at dressmaking.,
裁決<div class="hint">decision; ruling</div>,さいけつ,decision; ruling,その <ruby>申し<ruby>立<rt>もうした</rt></ruby>てに <ruby>対<rt>たい</rt></ruby>する <ruby>裁決<rt>さいけつ</rt></ruby>が <ruby>下<rt>くだ</rt></ruby>された。,The judgment on the statement was handed down.,
裁く<div class="hint">judge; pass judgment</div>,さばく,judge; pass judgment,<ruby>犯罪<rt>はんざい</rt></ruby> <ruby>者<rt>しゃ</rt></ruby>は <ruby>法<rt>ほう</rt></ruby>の <ruby>下<rt>もと</rt></ruby>に <ruby>裁<rt>さば</rt></ruby>かれなくてはならない。,Criminals should be judged under the law.,
裁つ<div class="hint">cut out</div>,たつ,cut out,ドレス <ruby>用<rt>よう</rt></ruby>の <ruby>布<rt>ぬの</rt></ruby>を <ruby>裁<rt>た</rt></ruby>った。,I cut up the dress fabric.,
混迷<div class="hint">confusion</div>,こんめい,confusion,<ruby>事態<rt>じたい</rt></ruby>は <ruby>非常<rt>ひじょう</rt></ruby>に <ruby>混迷<rt>こんめい</rt></ruby>しています。,The situation is very confusing.,
当惑<div class="hint">confusion; perplexity</div>,とうわく,confusion; perplexity,<ruby>彼<rt>かれ</rt></ruby>の <ruby>態度<rt>たいど</rt></ruby>の <ruby>急変<rt>きゅうへん</rt></ruby>に <ruby>当惑<rt>とうわく</rt></ruby>した。,I was perplexed by the sudden change in his attitude.,
惑わす<div class="hint">fascinate; mislead</div>,まどわす,fascinate; mislead,<ruby>彼女<rt>かのじょ</rt></ruby>はいつも <ruby>人<rt>ひと</rt></ruby>を <ruby>惑<rt>まど</rt></ruby>わすような <ruby>発言<rt>はつげん</rt></ruby>をする。,She always makes misleading remarks.,
謎々<div class="hint">puzzle; riddle</div>,なぞなぞ,puzzle; riddle,<ruby>子供<rt>こども</rt></ruby>たちは <ruby>謎々<rt>なぞなぞ</rt></ruby>が <ruby>大好<rt>だいす</rt></ruby>きです。,Children love riddles.,
ふわりと<div class="hint">gently</div>,ふわりと,gently,たんぽぽが <ruby>風<rt>かぜ</rt></ruby>にふわりと <ruby>漂<rt>ただよ</rt></ruby>っている。,The dandelion seeds float on the wind.,
主権<div class="hint">sovereignty</div>,しゅけん,sovereignty,この <ruby>国<rt>くに</rt></ruby>では <ruby>国民<rt>こくみん</rt></ruby>が <ruby>主権<rt>しゅけん</rt></ruby> <ruby>者<rt>しゃ</rt></ruby>だ。,The people are the rulers in this country.,
有権者<div class="hint">elector</div>,ゆうけんしゃ,elector,<ruby>彼<rt>かれ</rt></ruby>は <ruby>成人<rt>せいじん</rt></ruby>なので <ruby>有権者<rt>ゆうけんしゃ</rt></ruby>です。,As an adult he has voting rights.,
為す<div class="hint">do; perform</div>,なす,do; perform,<ruby>彼<rt>かれ</rt></ruby>は <ruby>一代<rt>いちだい</rt></ruby>で <ruby>財<rt>ざい</rt></ruby>を <ruby>為<rt>な</rt></ruby>した。,He made a fortune in one generation.,
代償<div class="hint">compensation</div>,だいしょう,compensation,<ruby>車<rt>くるま</rt></ruby>を <ruby>傷<rt>きず</rt></ruby>つけた <ruby>代償<rt>だいしょう</rt></ruby>として 50 <ruby>万<rt>まん</rt></ruby> <ruby>円<rt>えん</rt></ruby> <ruby>支払<rt>しはら</rt></ruby>いました。,I paid 500;000 yen as compensation for damage to the car.,
弁償<div class="hint">compensation</div>,べんしょう,compensation,<ruby>友達<rt>ともだち</rt></ruby>の <ruby>本<rt>ほん</rt></ruby>をなくしたので <ruby>弁償<rt>べんしょう</rt></ruby>した。,I lost my friend's book so I compensated him for it.,
償う<div class="hint">make up for; recompense</div>,つぐなう,make up for; recompense,<ruby>自分<rt>じぶん</rt></ruby>が <ruby>犯<rt>おか</rt></ruby>した <ruby>罪<rt>つみ</rt></ruby>は <ruby>一生<rt>いっしょう</rt></ruby>かけて <ruby>償<rt>つぐな</rt></ruby>います。,I will be paying all my life for the crime that I committed.,
賞状<div class="hint">certificate of merit; commendation</div>,しょうじょう,certificate of merit; commendation,<ruby>私<rt>わたし</rt></ruby>のチームは <ruby>優勝<rt>ゆうしょう</rt></ruby>して <ruby>賞状<rt>しょうじょう</rt></ruby>をもらった。,My team won the championship and I was given a certificate of merit.,
贈与<div class="hint">donation; presentation</div>,ぞうよ,donation; presentation,<ruby>親<rt>おや</rt></ruby>から <ruby>資金<rt>しきん</rt></ruby>の <ruby>贈与<rt>ぞうよ</rt></ruby>を <ruby>受<rt>う</rt></ruby>けた。,I received a monetary gift from my parents.,
財界<div class="hint">business world</div>,ざいかい,business world,<ruby>彼<rt>かれ</rt></ruby>は <ruby>財界<rt>ざいかい</rt></ruby>でも <ruby>有名<rt>ゆうめい</rt></ruby>な <ruby>人物<rt>じんぶつ</rt></ruby>だ。,He is famous in the financial world.,
くよくよ<div class="hint">fretting; worrying</div>,くよくよ,fretting; worrying,<ruby>彼<rt>かれ</rt></ruby>はいつまでもくよくよ <ruby>悩<rt>なや</rt></ruby>んでいた。,He was fretting on and on about it.,
隔てる<div class="hint">partition; separate</div>,へだてる,partition; separate,<ruby>道<rt>みち</rt></ruby>を <ruby>隔<rt>へだ</rt></ruby>てた <ruby>向<rt>む</rt></ruby>こうに <ruby>両親<rt>りょうしん</rt></ruby>が <ruby>住<rt>す</rt></ruby>んでいます。,My parents live over there across the road.,
未納<div class="hint">in arrears; unpaid</div>,みのう,in arrears; unpaid,<ruby>市民<rt>しみん</rt></ruby> <ruby>税<rt>ぜい</rt></ruby>が <ruby>未納<rt>みのう</rt></ruby>になっています。,The residence tax is unpaid.,
納まる<div class="hint">be delivered; be paid</div>,おさまる,be delivered; be paid,<ruby>荷物<rt>にもつ</rt></ruby>がトランクにすっかり <ruby>納<rt>おさ</rt></ruby>まった。,All of the luggage was crammed into the trunk.,
拾得<div class="hint">find</div>,しゅうとく,find,<ruby>彼<rt>かれ</rt></ruby>は <ruby>大金<rt>たいきん</rt></ruby>を <ruby>拾得<rt>しゅうとく</rt></ruby>した。,He found a lot of money.,
体得<div class="hint">acquisition; learning</div>,たいとく,acquisition; learning,<ruby>仕事<rt>しごと</rt></ruby>は <ruby>現場<rt>げんば</rt></ruby>で <ruby>体得<rt>たいとく</rt></ruby>するのが <ruby>一番<rt>いちばん</rt></ruby>です。,When it comes to work; it is best to acquire hands-on experience.,
心得る<div class="hint">know; understand</div>,こころえる,know; understand,リーダーが <ruby>心得<rt>こころえ</rt></ruby>るべきことがらは <ruby>次<rt>つぎ</rt></ruby>の <ruby>通<rt>とお</rt></ruby>りです。,The matters that the leader should know about are as follows.,
損ねる<div class="hint">offend; ruin</div>,そこねる,offend; ruin,<ruby>彼女<rt>かのじょ</rt></ruby>の <ruby>機嫌<rt>きげん</rt></ruby>を <ruby>損<rt>そこ</rt></ruby>ねてしまった。,She has been offended.,
損なう<div class="hint">damage; harm</div>,そこなう,damage; harm,<ruby>会社<rt>かいしゃ</rt></ruby>の <ruby>信頼<rt>しんらい</rt></ruby>を <ruby>損<rt>そこ</rt></ruby>なうような <ruby>振る<ruby>舞<rt>ふるま</rt></ruby>いは <ruby>慎<rt>つつし</rt></ruby>んでください。,Please refrain from acting in a way that may damage the reputation of the company.,
損得<div class="hint">advantage and disadvantage</div>,そんとく,advantage and disadvantage,<ruby>損得<rt>そんとく</rt></ruby> <ruby>抜<rt>ぬ</rt></ruby>きで <ruby>一緒<rt>いっしょ</rt></ruby>に <ruby>仕事<rt>しごと</rt></ruby>しよう。,Let's work together without thinking about profits or losses.,
がっしり<div class="hint">brawny; solid built</div>,がっしり,brawny; solid built,<ruby>彼<rt>かれ</rt></ruby>は <ruby>体格<rt>たいかく</rt></ruby>ががっしりしている。,He has a stocky physique.,
見損なう<div class="hint">fail to see; misjudge</div>,みそこなう,fail to see; misjudge,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>親友<rt>しんゆう</rt></ruby>を <ruby>見損<rt>みそこ</rt></ruby>なったみたいだ。,It looks like she has misjudged her best friend.,
可燃物<div class="hint">combustibles; flammable materials</div>,かねんぶつ,combustibles; flammable materials,<ruby>可燃<rt>かねん</rt></ruby> <ruby>物<rt>ぶつ</rt></ruby>はこっちのごみ <ruby>箱<rt>ばこ</rt></ruby>に <ruby>入<rt>い</rt></ruby>れて。,Put combustible things in the garbage box here.,
不燃物<div class="hint">incombustibles</div>,ふねんぶつ,incombustibles,<ruby>不燃<rt>ふねん</rt></ruby> <ruby>物<rt>ぶつ</rt></ruby>はこの <ruby>箱<rt>はこ</rt></ruby>に <ruby>入<rt>い</rt></ruby>れてください。,Please put nonflammable things in this box.,
焼きもち<div class="hint">jealousy</div>,やきもち,jealousy,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>焼<rt>や</rt></ruby>きもちを <ruby>焼<rt>や</rt></ruby>いているだけだよ。,She's just jealous.,
燥ぐ<div class="hint">frolic</div>,はしゃぐ,frolic,<ruby>子供<rt>こども</rt></ruby>たちはプールでさんざんはしゃいだ。,The children frolicked very happily in the pool.,
乾季<div class="hint">dry season</div>,かんき,dry season,<ruby>乾季<rt>かんき</rt></ruby>には <ruby>空気<rt>くうき</rt></ruby>が <ruby>埃<rt>ほこり</rt></ruby>っぽくなります。,In the dry season; the air becomes dusty.,
岸辺<div class="hint">bank; shore</div>,きしべ,bank; shore,<ruby>岸辺<rt>きしべ</rt></ruby>に <ruby>座<rt>すわ</rt></ruby>って <ruby>川<rt>かわ</rt></ruby>を <ruby>眺<rt>なが</rt></ruby>めていた。,I sat by the shore and gazed at the river.,
吹き込む<div class="hint">blow into; breathe into</div>,ふきこむ,blow into; breathe into,<ruby>雨<rt>あめ</rt></ruby>が <ruby>吹き<ruby>込<rt>ふきこ</rt></ruby>んできたので <ruby>窓<rt>まど</rt></ruby>を <ruby>閉<rt>し</rt></ruby>めた。,I closed the window as rain was blowing in.,
吹き出す<div class="hint">blast out; blow out</div>,ふきだす,blast out; blow out,あまりにおかしかったので <ruby>吹き<ruby>出<rt>ふきだ</rt></ruby>してしまった。,He snorted with amusement.,
へとへと<div class="hint">exhausted; tired</div>,へとへと,exhausted; tired,<ruby>一 <ruby>日<rt>にち</rt></ruby> <ruby>歩<rt>ある</rt></ruby>き <ruby>続<rt>つづ</rt></ruby>けてへとへとです。,I have been walking all day and I'm exhausted.,
散らし<div class="hint">handbill; leaflet</div>,ちらし,handbill; leaflet,<ruby>街<rt>まち</rt></ruby>で <ruby>散<rt>ち</rt></ruby>らしを <ruby>配<rt>くば</rt></ruby>っている。,I handed out leaflets in the town.,
散らす<div class="hint">scatter</div>,ちらす,scatter,ご <ruby>飯<rt>はん</rt></ruby>にゴマを <ruby>散<rt>ち</rt></ruby>らした。,I sprinkled sesame seeds on the rice.,
根回し<div class="hint">maneuvering behind the scenes</div>,ねまわし,maneuvering behind the scenes,この <ruby>国<rt>くに</rt></ruby>のビジネスには <ruby>根回<rt>ねまわ</rt></ruby>しが <ruby>欠<rt>か</rt></ruby>かせない。,The groundwork is vital for the business in this country.,
根っ子<div class="hint">root; stump</div>,ねっこ,root; stump,<ruby>草<rt>くさ</rt></ruby>を <ruby>根<rt>ね</rt></ruby>っ <ruby>子<rt>こ</rt></ruby>から <ruby>引き<ruby>抜<rt>ひきぬ</rt></ruby>いた。,I pulled the grass out from its roots.,
道草<div class="hint">dawdle; loiter</div>,みちくさ,dawdle; loiter,<ruby>学校<rt>がっこう</rt></ruby>の <ruby>帰<rt>かえ</rt></ruby>りによく <ruby>道草<rt>みちくさ</rt></ruby>をしたものです。,We often dawdled on the way home from school.,
呼び名<div class="hint">given name</div>,よびな,given name,<ruby>彼<rt>かれ</rt></ruby>は <ruby>本名<rt>ほんみょう</rt></ruby>より <ruby>呼び<ruby>名<rt>よびな</rt></ruby>で <ruby>知<rt>し</rt></ruby>られている。,He is known better by his nickname than his real name.,
呼び捨て<div class="hint">address informally</div>,よびすて,address informally,その <ruby>先生<rt>せんせい</rt></ruby>は <ruby>生徒<rt>せいと</rt></ruby> <ruby>全員<rt>ぜんいん</rt></ruby>を <ruby>呼び<ruby>捨<rt>よびす</rt></ruby>てにしている。,The teacher calls all students by their first name.,
溶け込む<div class="hint">fuse into; melt into</div>,とけこむ,fuse into; melt into,あの <ruby>彫刻<rt>ちょうこく</rt></ruby>は <ruby>街<rt>まち</rt></ruby>の <ruby>風景<rt>ふうけい</rt></ruby>に <ruby>溶け<ruby>込<rt>とけこ</rt></ruby>んでいます。,That sculpture merges into the scenery of the town.,
溶く<div class="hint">dissolve; melt</div>,とく,dissolve; melt,<ruby>小麦粉<rt>こむぎこ</rt></ruby>を <ruby>水<rt>みず</rt></ruby>で <ruby>溶<rt>と</rt></ruby>いてください。,Please stir the flour into some water.,
ちぐはぐ<div class="hint">mismatch</div>,ちぐはぐ,mismatch,ネクタイにスニーカーではちぐはぐだ。,You'd look mismatched if you wore sneakers with a necktie.,
変容<div class="hint">transfiguration</div>,へんよう,transfiguration,わが <ruby>国<rt>くに</rt></ruby>の <ruby>家族<rt>かぞく</rt></ruby>の <ruby>姿<rt>すがた</rt></ruby>は <ruby>大<rt>おお</rt></ruby>きく <ruby>変容<rt>へんよう</rt></ruby>した。,In our country; the form of the family has altered greatly.,
容態<div class="hint">one's condition</div>,ようだい,one's condition,<ruby>友人<rt>ゆうじん</rt></ruby>の <ruby>容態<rt>ようだい</rt></ruby>はだいぶよくなりました。,My friend's condition has improved considerably.,
容易い<div class="hint">easy; simple</div>,たやすい,easy; simple,<ruby>人<rt>ひと</rt></ruby>のせいにするのはたやすいことだ。,It is easy to blame others.,
背負う<div class="hint">carry on one's back; shoulder</div>,せおう,carry on one's back; shoulder,<ruby>街<rt>まち</rt></ruby> <ruby>中<rt>なか</rt></ruby>で <ruby>子供<rt>こども</rt></ruby>を <ruby>背負<rt>せお</rt></ruby>って <ruby>歩<rt>ある</rt></ruby>いた。,I carried the child on my back and walked around the town.,
背く<div class="hint">disobey; rebel against</div>,そむく,disobey; rebel against,<ruby>彼<rt>かれ</rt></ruby>に <ruby>背<rt>そむ</rt></ruby>くと <ruby>後<rt>あと</rt></ruby>が <ruby>恐<rt>こわ</rt></ruby>い。,Watch your back if you offend him.,
